Sample_PD_ID	tube_barcode_identifier	IRCC_full	IRCC_CASE_ID	Specimen type
PD25761a	FR03482949	CRC1185PRX	CRC1185PR	Xenograft from primary CRC 
PD25762a2	FR03480526	CRC1169LMX	CRC1169LM	Xenograft from CRC metastasis
PD25762c2	FR03480688	CRC1169PRX	CRC1169PR	Xenograft from primary CRC 
PD25763a	FR03482946	CRC1168PRX	CRC1168PR	Xenograft from primary CRC 
PD25764a	FR03482957	CRC1190PRX	CRC1190PR	Xenograft from primary CRC 
PD25765a	FR03482990	CRC1257LMX	CRC1257LM	Xenograft from CRC metastasis
PD25766a	FR03483600	CRC1262PRH	CRC1262PR	Original primary CRC 
PD25766c	FR03483596	CRC1262PRX	CRC1262PR	Xenograft from primary CRC 
PD25767a	FR03482958	CRC1241LMX	CRC1241LM	Xenograft from CRC metastasis
PD25768a2	FR03480636	CRC0516LMX	CRC0516LM	Xenograft from CRC metastasis
PD25769a2	FR03479933	CRC0520LMX	CRC0520LM	Xenograft from CRC metastasis
PD25770a2	FR03479897	CRC0521LMX	CRC0521LM	Xenograft from CRC metastasis
PD25771a2	FR03479854	CRC0527LMX	CRC0527LM	Xenograft from CRC metastasis
PD25772a2	FR03479912	CRC0554LMX	CRC0554LM	Xenograft from CRC metastasis
PD25773a2	FR03480702	CRC0578LMX	CRC0578LM	Xenograft from CRC metastasis
PD25774a	FR03482986	CRC0555LMX	CRC0555LM	Xenograft from CRC metastasis
PD25775a2	FR03479929	CRC0558LMX	CRC0558LM	Xenograft from CRC metastasis
PD25776a2	FR03479937	CRC0559LMX	CRC0559LM	Xenograft from CRC metastasis
PD25777a2	FR03480618	CRC0568LMX	CRC0568LM	Xenograft from CRC metastasis
PD25778a2	FR03480659	CRC0569LMX	CRC0569LM	Xenograft from CRC metastasis
PD25779a2	FR03480694	CRC0572LMX	CRC0572LM	Xenograft from CRC metastasis
PD25780a2	FR03480683	CRC0579LMX	CRC0579LM	Xenograft from CRC metastasis
PD25781a2	FR03480623	CRC0581LMX	CRC0581LM	Xenograft from CRC metastasis
PD25782a2	FR03480684	CRC0594LMX	CRC0594LM	Xenograft from CRC metastasis
PD25783a2	FR03480658	CRC0609LMX	CRC0609LM	Xenograft from CRC metastasis
PD25784a2	FR03480621	CRC0610LMX	CRC0610LM	Xenograft from CRC metastasis
PD25785a2	FR03480629	CRC0618LMX	CRC0618LM	Xenograft from CRC metastasis
PD25786a2	FR03480620	CRC0625LMX	CRC0625LM	Xenograft from CRC metastasis
PD25787a2	FR03480639	CRC0626LMX	CRC0626LM	Xenograft from CRC metastasis
PD25789a2	FR03480663	CRC0670LMX	CRC0670LM	Xenograft from CRC metastasis
PD25790a2	FR03480646	CRC0680LMX	CRC0680LM	Xenograft from CRC metastasis
PD25791a	FR03482994	CRC0692LMX	CRC0692LM	Xenograft from CRC metastasis
PD25792a2	FR03480685	CRC0706LMX	CRC0706LM	Xenograft from CRC metastasis
PD25793a2	FR03480662	CRC0705LMX	CRC0705LM	Xenograft from CRC metastasis
PD25794a2	FR03480679	CRC0717LMX	CRC0717LM	Xenograft from CRC metastasis
PD25795a2	FR03480670	CRC0721LMX	CRC0721LM	Xenograft from CRC metastasis
PD25796a2	FR03480657	CRC0730LMX	CRC0730LM	Xenograft from CRC metastasis
PD25797a	FR03482923	CRC0731LMX	CRC0731LM	Xenograft from CRC metastasis
PD25798a2	FR03480655	CRC0741LMX	CRC0741LM	Xenograft from CRC metastasis
PD25799a2	FR03480624	CRC0743LMX	CRC0743LM	Xenograft from CRC metastasis
PD25800a2	FR03480689	CRC0783LMX	CRC0783LM	Xenograft from CRC metastasis
PD25801a	FR03482924	CRC0753LMX	CRC0753LM	Xenograft from CRC metastasis
PD25802a2	FR03480649	CRC0729LMX	CRC0729LM	Xenograft from CRC metastasis
PD25803a2	FR03480673	CRC0771LMX	CRC0771LM	Xenograft from CRC metastasis
PD25804a2	FR03480686	CRC0773LMX	CRC0773LM	Xenograft from CRC metastasis
PD25807a	FR03482914	CRC1072LMX	CRC1072LM	Xenograft from CRC metastasis
PD25808a	FR03482922	CRC1075LMX	CRC1075LM	Xenograft from CRC metastasis
PD25810a	FR03482971	CRC1084LMX	CRC1084LM	Xenograft from CRC metastasis
PD25811a2	FR03480656	CRC1083LMX	CRC1083LM	Xenograft from CRC metastasis
PD25812a2	FR03479899	CRC1264LMH	CRC1264LM	Original CRC metastasis
PD25812c2	FR03480625	CRC1264LMX	CRC1264LM	Xenograft from CRC metastasis
PD25813a	FR03482940	CRC1090LMX	CRC1090LM	Xenograft from CRC metastasis
PD25814a2	FR03480664	CRC1139LMX	CRC1139LM	Xenograft from CRC metastasis
PD25815a	FR03482980	CRC1145LMX	CRC1145LM	Xenograft from CRC metastasis
PD25816a	FR03482987	CRC1147LMX	CRC1147LM	Xenograft from CRC metastasis
PD25817a	FR03482979	CRC1146LMX	CRC1146LM	Xenograft from CRC metastasis
PD25818a2	FR03480524	CRC1157LMX	CRC1157LM	Xenograft from CRC metastasis
PD25819a	FR03482938	CRC1162LMX	CRC1162LM	Xenograft from CRC metastasis
PD25820a	FR03483588	CRC1261LMX	CRC1261LM	Xenograft from CRC metastasis
PD25821a2	FR03480632	CRC0778LMX	CRC0778LM	Xenograft from CRC metastasis
PD25822a	FR03483661	CRC0504LMH	CRC0504LM	Original CRC metastasis
PD25822c2	FR03479861	CRC0504LMX	CRC0504LM	Xenograft from CRC metastasis
PD25823a2	FR03480692	CRC0597LMX	CRC0597LM	Xenograft from CRC metastasis
PD25824a2	FR03480681	CRC0772LMX	CRC0772LM	Xenograft from CRC metastasis
PD25825a	FR03483994	CRC0031LMX	CRC0031LM	Xenograft from CRC metastasis
PD25826a2	FR03480517	CRC0158LMX	CRC0158LM	Xenograft from CRC metastasis
PD25827a2	FR03479879	CRC0164LMX	CRC0164LM	Xenograft from CRC metastasis
